Column1,date,days_of_week,day,hour,text,Incident Type,Location
898,13/05/2019 0:22,Monday,13,0,Accident on Dunearn Road (towards City) after Hillcrest Road. Avoid left lane,Accident,Dunearn Road (towards City) after Hillcrest Road
899,13/05/2019 0:19,Monday,13,0,Accident in CTE Tunnel (towards AYE) after Bukit Timah Rd Exit with congestion till PIE(Jurong) Exit. Avoid lane 1,Accident,CTE Tunnel (towards AYE) after Bukit Timah Rd Exit with congestion till PIE(Jurong) Exit
900,13/05/2019 0:15,Monday,13,0,Accident on SLE (towards BKE) after Lentor Ave Exit,Accident,SLE (towards BKE) after Lentor Ave Exit
901,13/05/2019 0:10,Monday,13,0,Accident in CTE Tunnel (towards AYE) after Bukit Timah Rd Exit with congestion till Balestier Rd Exit. Avoid lane 1,Accident,CTE Tunnel (towards AYE) after Bukit Timah Rd Exit with congestion till Balestier Rd Exit
902,13/05/2019 0:07,Monday,13,0,Accident on KJE (towards PIE) before PIE(Changi) Exit. Avoid lane 1,Accident,KJE (towards PIE) before PIE(Changi) Exit
903,13/05/2019 0:02,Monday,13,0,Accident in CTE Tunnel (towards AYE) after Bukit Timah Rd Exit. Avoid lane 1,Accident,CTE Tunnel (towards AYE) after Bukit Timah Rd Exit
904,12/05/2019 15:14,Sunday,12,15,Accident on KPE (towards TPE) before Halus Link Exit,Accident,KPE (towards TPE) before Halus Link Exit
905,12/05/2019 13:47,Sunday,12,13,Accident on PIE (towards Tuas) at Jalan Bahar Exit,Accident,PIE (towards Tuas) at Jalan Bahar Exit
906,12/05/2019 12:58,Sunday,12,12,Accident on Adam Road (towards Queensway) at Farrer Flyover. Avoid left lane,Accident,Adam Road (towards Queensway) at Farrer Flyover
907,12/05/2019 12:19,Sunday,12,12,Obstacle on PIE (towards Changi Airport) before Bedok North Rd,Obstacle,PIE (towards Changi Airport) before Bedok North Rd
908,12/05/2019 12:17,Sunday,12,12,Obstacle in CTE Tunnel (towards AYE) after Orchard Rd Exit. Avoid lane 3,Obstacle,CTE Tunnel (towards AYE) after Orchard Rd Exit
909,12/05/2019 12:12,Sunday,12,12,Obstacle on PIE (towards Changi Airport) at KPE(ECP) Exit,Obstacle,PIE (towards Changi Airport) at KPE(ECP) Exit
910,12/05/2019 10:03,Sunday,12,10,Obstacle in CTE Tunnel (towards SLE) after Bukit Timah Rd Entrance. Avoid lane 1,Obstacle,CTE Tunnel (towards SLE) after Bukit Timah Rd Entrance
911,12/05/2019 9:07,Sunday,12,9,Accident on Defu Avenue 1 (towards Defu Lane 1) after Defu Lane 10,Accident,Defu Avenue 1 (towards Defu Lane 1) after Defu Lane 10
912,12/05/2019 8:59,Sunday,12,8,Accident on Tampines Road (towards Hougang Avenue 7) after Fish Farm Road 1. Avoid left lane,Accident,Tampines Road (towards Hougang Avenue 7) after Fish Farm Road 1
913,12/05/2019 8:51,Sunday,12,8,Obstacle in CTE Tunnel (towards AYE) before Orchard Rd Exit. Avoid lane 3,Obstacle,CTE Tunnel (towards AYE) before Orchard Rd Exit
914,12/05/2019 7:47,Sunday,12,7,Accident on PIE (towards Tuas) before KPE Exit,Accident,PIE (towards Tuas) before KPE Exit
915,12/05/2019 5:42,Sunday,12,5,Accident in CTE Tunnel (towards AYE) at Cairnhill Circle Exit,Accident,CTE Tunnel (towards AYE) at Cairnhill Circle Exit
916,12/05/2019 5:39,Sunday,12,5,Accident on PIE (towards Tuas) after Toa Payoh Exit. Avoid lane 4,Accident,PIE (towards Tuas) after Toa Payoh Exit
917,12/05/2019 5:15,Sunday,12,5,Accident on PIE (towards Changi Airport) after Bedok North Ave 3 with congestion till Bedok North Ave 3. Avoid lanes 1 and 2,Accident,PIE (towards Changi Airport) after Bedok North Ave 3 with congestion till Bedok North Ave 3
918,12/05/2019 5:09,Sunday,12,5,Accident on PIE (towards Changi Airport) after Bedok North Ave 3. Avoid lanes 1 and 2,Accident,PIE (towards Changi Airport) after Bedok North Ave 3
919,12/05/2019 3:58,Sunday,12,3,Obstacle on TPE (towards PIE) after Pasir Ris Dr 8 Exit. Avoid lane 1,Obstacle,TPE (towards PIE) after Pasir Ris Dr 8 Exit
920,12/05/2019 3:46,Sunday,12,3,Accident in Sentosa Gateway Tunnel,Accident,Sentosa Gateway Tunnel
921,12/05/2019 3:07,Sunday,12,3,Accident in Sentosa Gateway Tunnel. Avoid lane 1,Accident,Sentosa Gateway Tunnel
922,11/05/2019 23:29,Saturday,11,23,Accident on BKE (towards PIE) after Mandai Rd Exit,Accident,BKE (towards PIE) after Mandai Rd Exit
923,11/05/2019 23:04,Saturday,11,23,Accident on BKE (towards PIE) after Mandai Rd Exit. Avoid lane 1,Accident,BKE (towards PIE) after Mandai Rd Exit
924,11/05/2019 16:38,Saturday,11,16,Accident on PIE (towards Tuas) at Jurong East Ave 1 Exit,Accident,PIE (towards Tuas) at Jurong East Ave 1 Exit
925,11/05/2019 16:02,Saturday,11,16,Obstacle on BKE (towards PIE) before SLE Exit. Avoid lane 2,Obstacle,BKE (towards PIE) before SLE Exit
926,11/05/2019 16:01,Saturday,11,16,Obstacle on BKE (towards PIE) before SLE Exit. Avoid lane 1,Obstacle,BKE (towards PIE) before SLE Exit
927,11/05/2019 15:46,Saturday,11,15,Heavy Traffic on PIE (towards Tuas) after Thomson Rd Exit,Heavy Traffic,on PIE (towards Tuas) after Thomson Rd Exit
928,11/05/2019 15:43,Saturday,11,15,Accident on ECP (towards City) before PIE(Tuas) Exit. Avoid lane 3,Accident,ECP (towards City) before PIE(Tuas) Exit
929,11/05/2019 14:56,Saturday,11,14,Accident on PIE (towards Tuas) after Thomson Rd Exit with congestion till Thomson Rd Exit. Avoid lane 1,Accident,PIE (towards Tuas) after Thomson Rd Exit with congestion till Thomson Rd Exit
930,11/05/2019 14:46,Saturday,11,14,Accident on PIE (towards Tuas) after Thomson Rd Exit. Avoid lane 1,Accident,PIE (towards Tuas) after Thomson Rd Exit
931,11/05/2019 14:30,Saturday,11,14,Accident on PIE (towards Tuas) after Eng Neo Ave. Avoid lane 4,Accident,PIE (towards Tuas) after Eng Neo Ave
932,11/05/2019 12:31,Saturday,11,12,Obstacle on PIE (towards Changi Airport) at TPE Exit,Obstacle,PIE (towards Changi Airport) at TPE Exit
933,11/05/2019 12:16,Saturday,11,12,Accident on North Bridge Road (towards Middle Road) after Liang Seah Street. Avoid left lane,Accident,North Bridge Road (towards Middle Road) after Liang Seah Street
934,11/05/2019 12:01,Saturday,11,12,Accident on AYE (towards Tuas ) at West Coast Way Entrance,Accident,AYE (towards Tuas ) at West Coast Way Entrance
935,11/05/2019 11:51,Saturday,11,11,Accident on Simei Avenue near Simei Avenue/Upper Changi Road East Junction,Accident,Simei Avenue near Simei Avenue/Upper Changi Road East Junction
936,11/05/2019 11:50,Saturday,11,11,Accident on Tampines Avenue 10 near Tampines Avenue 1/Tampines Avenue 10 Junction,Accident,Tampines Avenue 10 near Tampines Avenue 1/Tampines Avenue 10 Junction
937,11/05/2019 11:03,Saturday,11,11,Accident on North Bridge Road (towards Middle Road) after Liang Seah Street,Accident,North Bridge Road (towards Middle Road) after Liang Seah Street
938,11/05/2019 9:55,Saturday,11,9,Heavy Traffic on CTE (towards SLE) after Braddell Rd Exit,Heavy Traffic,on CTE (towards SLE) after Braddell Rd Exit
939,11/05/2019 9:54,Saturday,11,9,Accident on CTE (towards SLE) after Braddell Rd Exit with congestion till Braddell Rd Exit. Avoid lane 1,Accident,CTE (towards SLE) after Braddell Rd Exit with congestion till Braddell Rd Exit
940,11/05/2019 9:51,Saturday,11,9,Accident on CTE (towards SLE) after Braddell Rd Exit. Avoid lane 1,Accident,CTE (towards SLE) after Braddell Rd Exit
941,11/05/2019 9:01,Saturday,11,9,Obstacle on TPE (towards PIE) before Seletar Link Exit. Avoid lane 3,Obstacle,TPE (towards PIE) before Seletar Link Exit
