,date,day,hour,days_of_week,text
25,2019-05-31 08:32:40,31,8,Friday,Accident on ECP (towards Changi Airport) after Still Rd Sth Exit. Avoid lane 1
26,2019-05-31 08:29:55,31,8,Friday,Accident on BKE (towards Woodlands) before Woodlands Rd Exit. Avoid lanes 3 and 4
27,2019-05-31 08:14:13,31,8,Friday,Accident on BKE (towards Woodlands) before Woodlands Rd Exit. Avoid lane 4
28,2019-05-31 07:52:39,31,7,Friday,Accident on BKE (towards Woodlands) before Woodlands Rd Exit. Avoid lane 2
29,2019-05-31 06:51:23,31,6,Friday,Accident on AYE (towards Tuas) after Lower Delta Rd Exit. Avoid lane 1
30,2019-05-31 06:35:49,31,6,Friday,Accident on Clementi Road (towards Ulu Pandan Road) after Clementi Avenue 2
31,2019-05-31 06:13:49,31,6,Friday,Accident on CTE (towards AYE) after Moulmein Rd Exit. Avoid lane 5
32,2019-05-31 06:12:14,31,6,Friday,Accident on CTE (towards AYE) after Moulmein Rd Exit. Avoid lane 1
33,2019-05-31 06:10:02,31,6,Friday,Heavy Traffic on AYE (towards MCE) at Alexandra Rd Exit
34,2019-05-31 06:02:03,31,6,Friday,Accident on Jurong Port Road (towards Jalan Terusan) after Jalan Buroh
35,2019-05-31 05:50:49,31,5,Friday,Accident on Jurong Port Road (towards Jalan Terusan) after Jalan Ahmad Ibrahim
36,2019-05-31 05:40:02,31,5,Friday,Accident on AYE (towards MCE) at Alexandra Rd Exit
37,2019-05-31 05:01:00,31,5,Friday,Accident on PIE (towards Tuas) after KPE Exit
38,2019-05-31 04:13:58,31,4,Friday,Accident on KPE (towards ECP) after Tampines Rd Exit
39,2019-05-31 03:16:14,31,3,Friday,Accident on PIE (towards Changi Airport) before Bedok North Rd with congestion till Paya Lebar Rd. Avoid lane 1
40,2019-05-31 03:14:03,31,3,Friday,Accident on PIE (towards Changi Airport) before Bedok North Rd with congestion till Paya Lebar Rd. Avoid lanes 1 and 2
41,2019-05-31 03:01:12,31,3,Friday,Accident on PIE (towards Changi Airport) before Bedok North Rd. Avoid lanes 1 and 2
42,2019-05-31 03:01:12,31,3,Friday,Accident on KPE (towards ECP) after Tampines Rd Exit. Avoid lane 2
43,2019-05-31 02:42:25,31,2,Friday,Accident on KPE (towards ECP) after Tampines Rd Exit. Avoid lane 3
44,2019-05-31 02:36:35,31,2,Friday,Obstacle on PIE (towards Tuas) after Paya Lebar Rd. Avoid lane 1
45,2019-05-31 02:36:03,31,2,Friday,Obstacle on KPE (towards TPE) at PIE(Tuas) Exit
46,2019-05-31 01:35:23,31,1,Friday,Obstacle on PIE (towards Tuas) after Paya Lebar Rd. Avoid lane 2
47,2019-05-31 01:34:52,31,1,Friday,Obstacle on PIE (towards Tuas) after Paya Lebar Rd. Avoid lanes 1 and 2
48,2019-05-31 00:46:42,31,0,Friday,Accident on CTE (towards SLE) at Jalan Bukit Merah Entrance
49,2019-05-31 00:31:43,31,0,Friday,Accident on PIE (towards Changi Airport) after Bukit Timah Rd exit. Avoid lane 1
50,2019-05-31 00:25:53,31,0,Friday,Accident on TPE (towards PIE) after Pasir Ris Dr 8 Exit
51,2019-05-30 22:51:57,30,22,Thursday,Accident on BKE (towards Woodlands) after PIE Entrance
52,2019-05-30 22:49:47,30,22,Thursday,Accident on BKE (towards Woodlands) after PIE Entrance. Avoid lane 1
53,2019-05-30 19:47:19,30,19,Thursday,Accident on CTE (towards SLE) at PIE Exit
54,2019-05-30 19:32:34,30,19,Thursday,Accident on SLE (towards CTE) before TPE Exit. Avoid lane 3
55,2019-05-30 17:34:04,30,17,Thursday,Obstacle on SLE (towards BKE) after Lentor Ave Exit. Avoid lanes 3 and 4
56,2019-05-30 16:10:28,30,16,Thursday,Accident in CTE Tunnel (towards AYE) at Merchant Road Entrance
57,2019-05-30 15:21:56,30,15,Thursday,Obstacle on MCE (towards AYE) after Maxwell Rd Exit. Avoid lane 4
58,2019-05-30 14:29:49,30,14,Thursday,Accident on PIE (towards Tuas) after Eng Neo Ave
59,2019-05-30 14:24:30,30,14,Thursday,Accident on CTE (towards SLE) after PIE(Changi) Exit with congestion till Jalan Bahagia Exit. Avoid lane 1
